State_Code,District_Code,Village_ID,FRA_Households,Tribal_Population,Poverty_Index,Literacy_Rate
16,567,1000,160,636,0.24,38.3
23,896,1001,189,456,0.88,67.9
23,705,1002,181,728,0.03,46.5
36,430,1003,166,365,0.08,83.4
36,926,1004,257,1699,0.15,32.5
36,471,1005,250,568,0.73,57.8
21,556,1006,243,1101,0.27,32.9
16,206,1007,246,1162,0.59,83.7
36,733,1008,205,1958,0.03,87.6
23,899,1009,224,1756,0.39,82.7
16,128,1010,112,1446,0.56,86.3
16,754,1011,152,461,0.14,82.4
21,974,1012,160,432,0.02,23.2
23,856,1013,140,1722,0.14,77.5
23,905,1014,263,976,0.61,82.5
21,975,1015,180,970,0.87,37.4
16,925,1016,56,296,0.09,49.5
16,909,1017,258,1664,0.11,63.0
16,906,1018,254,1330,0.43,32.1
16,162,1019,170,1890,0.09,22.5
36,310,1020,198,1286,0.54,51.8
36,759,1021,174,1881,0.45,27.3
23,247,1022,247,1670,0.56,40.7
36,552,1023,95,1798,0.81,36.8
36,460,1024,183,1714,0.43,61.8
23,501,1025,160,1798,0.14,83.4
16,329,1026,241,298,0.41,77.6
23,352,1027,131,1628,0.0,28.7
21,843,1028,295,1668,0.7,86.2
16,999,1029,63,1441,0.04,59.1
21,122,1030,240,894,0.55,65.6
36,788,1031,85,466,0.6,31.4
21,356,1032,293,1453,0.74,69.9
36,271,1033,184,1552,0.86,38.3
16,259,1034,195,743,0.16,31.9
36,174,1035,237,1170,0.17,20.7
21,110,1036,239,1694,0.39,84.2
16,896,1037,61,552,0.0,35.2
21,427,1038,226,1729,0.05,62.7
36,203,1039,201,1573,0.04,28.0
23,479,1040,223,852,0.1,50.0
16,192,1041,155,641,0.57,28.7
16,984,1042,241,303,0.05,67.8
36,263,1043,195,294,0.11,66.2
21,634,1044,156,1194,0.49,83.0
36,550,1045,293,1291,0.38,36.3
21,986,1046,190,1909,0.7,87.3
23,413,1047,290,1153,0.83,34.9
36,403,1048,292,1294,0.43,68.7
23,294,1049,204,1758,0.48,52.7
36,891,1050,194,494,0.77,66.6
21,558,1051,58,1085,0.52,51.4
16,580,1052,135,613,0.12,87.2
23,453,1053,133,1363,0.4,70.6
23,536,1054,176,1400,0.75,29.2
16,114,1055,159,937,0.7,22.2
36,950,1056,111,1758,0.55,43.2
23,499,1057,97,1376,0.02,73.6
23,439,1058,204,886,0.88,53.0
21,770,1059,253,1127,0.23,74.7
21,993,1060,125,892,0.49,39.4
21,594,1061,278,1791,0.32,74.5
21,577,1062,62,469,0.6,31.3
23,422,1063,143,1283,0.86,60.3
23,497,1064,75,975,0.47,61.7
23,413,1065,202,1690,0.84,26.5
21,443,1066,60,1985,0.04,22.8
36,406,1067,219,708,0.05,59.0
16,743,1068,276,557,0.4,50.1
21,486,1069,191,1314,0.85,25.6
16,531,1070,107,1682,0.76,24.6
16,604,1071,270,366,0.42,81.8
21,619,1072,131,1193,0.89,79.2
16,893,1073,70,1338,0.13,49.8
16,715,1074,250,1602,0.14,58.6
23,508,1075,172,587,0.85,71.8
36,647,1076,58,390,0.73,44.3
21,741,1077,215,1367,0.13,49.4
23,888,1078,179,1976,0.83,35.3
21,631,1079,73,744,0.15,53.0
23,869,1080,64,1982,0.5,75.3
23,829,1081,245,1276,0.08,40.4
36,714,1082,198,586,0.59,75.7
21,151,1083,66,1876,0.56,71.0
16,850,1084,110,1597,0.2,76.8
36,797,1085,159,452,0.13,32.0
23,334,1086,222,859,0.36,43.0
23,689,1087,264,1000,0.55,28.6
16,687,1088,110,484,0.1,76.9
16,200,1089,179,638,0.11,36.9
21,254,1090,135,1679,0.7,50.8
21,445,1091,224,737,0.09,79.2
23,615,1092,244,988,0.98,80.5
16,223,1093,203,1209,0.19,28.3
21,932,1094,208,503,0.9,38.5
23,881,1095,106,220,0.7,82.5
36,104,1096,259,1409,0.26,22.0
16,963,1097,282,1574,0.26,37.0
36,729,1098,94,1244,0.09,75.2
21,859,1099,256,1949,0.95,46.9
23,435,1100,88,1108,0.07,46.2
23,517,1101,126,296,0.63,70.8
21,351,1102,149,1068,0.09,88.2
36,554,1103,70,663,0.68,67.3
16,872,1104,52,1805,0.16,42.8
23,923,1105,134,1123,0.7,72.5
16,163,1106,73,1003,0.15,37.0
16,886,1107,96,1698,0.59,32.3
23,784,1108,106,1403,0.16,63.8
21,650,1109,201,410,0.51,54.3
36,652,1110,265,2000,0.38,42.9
16,175,1111,129,264,0.8,34.8
21,546,1112,60,261,0.77,28.8
36,574,1113,204,971,0.5,66.9
36,131,1114,87,405,0.93,58.8
21,948,1115,264,1182,0.6,86.7
21,256,1116,188,902,0.37,78.8
36,812,1117,71,1128,0.12,31.9
16,716,1118,276,852,0.07,51.8
16,674,1119,260,352,0.3,85.8
16,561,1120,130,494,0.89,30.0
23,197,1121,291,1289,0.04,21.1
23,367,1122,56,239,0.19,75.3
36,523,1123,85,1691,0.73,75.5
36,361,1124,180,1728,0.42,71.6
21,210,1125,199,1208,0.31,62.3
23,787,1126,117,733,0.33,64.6
36,831,1127,271,231,0.12,73.4
21,696,1128,147,1110,0.31,54.5
16,397,1129,179,914,0.57,66.7
23,668,1130,76,303,0.1,83.1
36,310,1131,107,1828,0.2,80.3
16,787,1132,70,391,0.26,32.3
23,455,1133,140,420,0.45,49.2
21,573,1134,109,280,0.55,87.3
16,681,1135,176,427,0.28,32.1
23,534,1136,270,930,0.48,45.1
36,553,1137,210,1447,0.1,58.7
16,768,1138,108,847,0.91,43.2
23,783,1139,63,336,0.52,87.2
36,585,1140,156,367,0.82,65.5
16,410,1141,142,303,0.79,27.2
21,274,1142,169,637,0.03,89.0
21,153,1143,54,478,0.15,86.7
36,367,1144,52,913,0.78,32.0
23,231,1145,181,554,0.98,25.8
23,908,1146,82,1181,0.86,53.4
16,828,1147,203,1797,0.46,61.8
16,251,1148,178,963,0.89,25.4
23,618,1149,249,1273,0.63,61.3
23,290,1150,189,1076,0.68,84.6
21,616,1151,154,818,0.25,42.2
23,134,1152,61,1269,0.05,51.7
21,958,1153,55,269,0.79,88.7
23,316,1154,295,1712,0.84,24.5
16,392,1155,199,617,0.42,77.7
16,204,1156,285,599,0.12,82.8
16,609,1157,227,1775,0.39,30.9
23,700,1158,207,1556,0.66,52.0
23,161,1159,252,1491,0.29,32.2
16,507,1160,242,1316,0.84,23.9
16,280,1161,99,1495,0.24,25.9
16,700,1162,165,1801,0.35,57.8
16,294,1163,50,1276,0.55,64.5
23,693,1164,57,527,0.73,74.4
16,624,1165,135,294,0.28,24.2
21,578,1166,141,934,0.1,44.3
36,770,1167,193,1823,0.6,48.1
36,449,1168,96,1956,0.76,27.6
21,572,1169,270,353,0.01,86.7
23,902,1170,177,1403,0.29,78.4
36,434,1171,73,209,0.06,80.1
36,584,1172,53,916,0.9,45.1
21,483,1173,117,463,0.27,86.2
16,630,1174,209,1372,0.8,49.6
23,255,1175,167,1293,0.62,33.5
21,165,1176,178,1863,0.08,26.9
23,963,1177,159,813,0.73,44.8
21,252,1178,250,800,0.25,24.1
21,735,1179,185,1976,0.04,34.7
23,486,1180,63,217,0.18,37.1
16,510,1181,107,322,0.88,58.3
36,323,1182,188,783,0.98,34.8
36,348,1183,271,1896,0.07,72.5
23,192,1184,241,604,0.79,63.7
23,945,1185,130,1415,0.6,87.6
23,615,1186,114,1315,0.27,88.4
16,594,1187,284,489,0.38,60.7
36,755,1188,50,1174,0.01,55.3
16,255,1189,287,1651,0.27,50.1
21,359,1190,82,1508,0.56,39.6
16,101,1191,81,1875,0.59,71.9
36,562,1192,63,517,0.69,59.1
23,522,1193,61,1678,0.18,32.2
23,497,1194,232,897,0.42,34.2
16,183,1195,264,1148,0.62,84.3
21,496,1196,108,1092,0.69,37.8
21,151,1197,131,1764,0.33,87.1
23,714,1198,168,1770,0.81,66.0
21,676,1199,185,1159,0.8,57.3
16,803,1200,162,941,0.36,70.2
23,885,1201,71,1547,0.16,71.1
16,522,1202,256,1660,0.26,43.8
36,467,1203,216,354,0.04,81.2
23,835,1204,118,227,0.7,54.7
16,713,1205,277,1013,1.0,66.6
21,742,1206,115,276,0.7,51.6
21,242,1207,228,528,0.66,88.7
23,368,1208,150,563,0.52,82.9
36,529,1209,104,588,0.55,49.6
23,462,1210,95,771,0.7,23.6
21,153,1211,119,1040,0.45,75.6
16,384,1212,153,1035,0.84,52.6
21,741,1213,84,713,0.5,49.9
21,547,1214,285,878,0.62,35.6
16,649,1215,135,1339,0.17,39.0
16,361,1216,192,285,0.72,47.9
36,717,1217,108,975,0.55,85.3
23,284,1218,55,888,0.51,65.5
36,847,1219,78,1038,0.4,43.2
16,310,1220,235,1856,0.06,48.6
36,240,1221,269,834,0.14,71.7
16,462,1222,144,1472,0.62,87.0
16,654,1223,287,342,0.59,42.9
16,497,1224,275,1073,0.96,86.6
23,635,1225,126,1163,0.49,48.3
36,917,1226,119,1046,0.35,56.3
23,745,1227,83,1145,0.32,44.8
21,713,1228,265,1152,0.18,25.7
23,192,1229,232,217,0.58,68.9
16,165,1230,268,1718,0.81,78.8
21,180,1231,237,1850,0.19,22.6
36,562,1232,170,1998,0.76,85.2
21,853,1233,103,1498,0.29,23.2
16,176,1234,141,1259,0.08,80.1
21,207,1235,251,260,0.94,84.0
36,744,1236,288,948,0.08,29.9
36,245,1237,82,1548,0.32,44.0
21,107,1238,135,1623,0.2,27.9
21,282,1239,230,388,0.99,41.0
36,314,1240,51,1459,0.2,31.3
16,584,1241,187,210,0.95,53.3
23,422,1242,107,1361,0.0,61.4
16,757,1243,60,1330,0.63,64.7
21,910,1244,207,955,0.83,61.7
23,454,1245,150,375,0.43,38.2
21,308,1246,235,1275,0.96,73.1
23,935,1247,214,1231,0.17,89.3
36,892,1248,276,366,0.28,63.8
23,911,1249,115,1335,0.86,34.1
36,361,1250,256,997,0.53,45.2
16,710,1251,271,758,0.88,20.9
23,380,1252,143,562,0.35,43.3
23,638,1253,138,1325,0.36,52.6
21,309,1254,74,647,0.57,32.9
21,998,1255,77,767,0.51,74.7
36,497,1256,52,982,0.19,37.6
16,989,1257,171,516,0.79,74.0
36,608,1258,286,641,0.56,61.5
36,748,1259,267,606,0.8,53.4
23,332,1260,202,1834,0.79,42.3
36,967,1261,51,1089,0.14,30.5
21,101,1262,167,1498,0.37,33.9
36,716,1263,115,1042,0.46,74.5
16,912,1264,174,270,0.04,33.1
16,904,1265,93,1810,0.12,59.9
21,579,1266,247,1799,0.42,88.8
36,805,1267,264,1128,0.87,70.7
36,915,1268,161,1142,0.99,45.4
36,903,1269,227,1034,0.77,63.7
36,445,1270,61,785,0.63,36.7
21,163,1271,65,1624,0.37,83.7
23,443,1272,77,1017,0.72,48.1
21,169,1273,102,913,0.95,59.2
21,983,1274,163,1349,0.01,55.6
21,324,1275,149,971,0.77,31.2
16,516,1276,149,642,0.11,28.3
23,704,1277,218,1523,0.89,41.4
36,964,1278,231,512,0.87,44.3
16,824,1279,268,1814,0.31,36.5
23,975,1280,67,1903,0.07,63.9
16,205,1281,57,1799,0.66,43.3
16,496,1282,98,244,0.33,76.1
23,332,1283,262,1143,0.87,83.0
36,128,1284,266,955,0.36,34.5
36,549,1285,246,1085,0.48,26.5
21,265,1286,260,1991,0.87,27.2
36,971,1287,245,628,0.63,37.1
21,308,1288,270,1424,0.86,35.9
23,165,1289,300,440,0.66,77.6
21,915,1290,114,591,0.93,41.3
23,168,1291,114,1866,0.82,22.5
23,381,1292,93,685,0.52,83.1
21,142,1293,219,1283,0.65,72.7
21,179,1294,217,1476,0.64,78.8
36,466,1295,231,311,0.28,82.8
21,104,1296,171,1420,0.78,76.8
21,293,1297,140,449,0.93,64.3
16,167,1298,271,610,0.71,70.6
36,738,1299,151,1489,0.06,82.9
16,398,1300,189,459,0.48,63.9
16,469,1301,229,1813,0.73,21.5
21,248,1302,187,485,0.75,80.5
16,166,1303,193,730,0.69,76.7
36,192,1304,72,563,0.29,55.4
21,902,1305,107,1241,0.92,39.0
23,471,1306,290,1161,0.98,61.7
21,735,1307,171,1338,0.55,52.0
36,254,1308,267,1532,0.71,68.9
21,896,1309,295,1354,0.09,36.2
23,294,1310,256,486,0.64,35.6
16,960,1311,272,527,0.26,43.9
21,382,1312,274,1822,0.1,39.4
23,817,1313,238,291,0.29,87.5
21,400,1314,293,1395,0.79,54.5
36,112,1315,268,360,0.34,25.0
36,222,1316,91,985,0.89,43.9
23,950,1317,274,1290,0.46,39.3
36,981,1318,251,1016,0.62,64.3
23,788,1319,138,376,0.14,26.8
21,712,1320,73,330,0.76,42.5
16,887,1321,153,772,0.59,37.3
16,887,1322,152,1890,0.23,22.3
21,502,1323,170,819,0.66,68.5
36,522,1324,206,1223,0.8,76.6
16,172,1325,112,1315,0.9,88.4
16,637,1326,263,247,0.36,56.7
16,599,1327,268,879,0.79,21.1
16,853,1328,129,1263,0.4,75.5
23,482,1329,79,675,0.7,54.3
16,114,1330,184,1375,0.67,86.2
21,754,1331,291,1967,0.3,61.1
16,151,1332,233,536,0.18,39.9
36,412,1333,158,1295,0.66,69.3
16,448,1334,58,1873,0.38,72.6
36,842,1335,113,1182,0.11,37.0
36,651,1336,220,1438,0.48,55.9
23,892,1337,51,622,0.75,77.4
21,654,1338,269,1115,0.07,59.6
21,151,1339,176,375,0.62,80.9
36,523,1340,233,707,0.15,33.0
36,173,1341,243,351,0.23,41.3
16,219,1342,80,837,0.65,64.7
36,544,1343,142,1527,0.45,52.0
36,860,1344,112,1353,0.33,50.3
23,959,1345,170,1267,0.14,39.5
36,898,1346,262,652,0.65,82.2
23,805,1347,67,946,0.14,33.5
21,144,1348,245,1150,0.78,43.1
21,998,1349,187,1960,0.74,58.7
23,513,1350,98,782,0.03,28.3
21,404,1351,56,557,0.42,63.3
36,484,1352,162,606,0.23,70.1
16,751,1353,238,1544,0.65,21.1
36,819,1354,181,623,0.26,32.0
16,569,1355,92,1072,0.06,38.8
16,945,1356,83,469,0.36,25.8
16,103,1357,278,1787,0.3,27.1
23,865,1358,129,699,0.46,20.2
23,378,1359,199,673,0.09,85.7
36,364,1360,274,1858,0.99,24.7
23,297,1361,102,1833,0.25,87.8
23,346,1362,123,1632,0.95,27.3
16,686,1363,224,1567,0.26,31.9
23,915,1364,277,658,0.26,60.4
23,822,1365,205,1519,0.28,41.5
23,610,1366,120,1901,0.88,73.2
23,356,1367,121,582,0.18,79.8
36,866,1368,130,796,0.88,39.5
36,687,1369,143,864,0.19,27.0
36,380,1370,242,1549,0.33,84.2
16,341,1371,257,890,0.55,32.9
36,203,1372,151,854,0.31,41.7
36,303,1373,131,239,0.29,36.5
16,244,1374,96,1736,0.01,36.0
23,755,1375,88,643,0.12,87.1
36,689,1376,185,1849,0.04,88.6
16,592,1377,264,268,0.14,65.3
21,227,1378,223,1391,0.93,86.0
21,844,1379,196,463,0.86,70.2
23,810,1380,66,966,0.65,79.4
21,692,1381,145,1260,0.38,20.7
23,628,1382,100,468,0.9,53.4
36,974,1383,284,921,0.16,68.8
21,660,1384,93,1353,0.48,65.8
36,507,1385,258,300,0.26,56.0
23,361,1386,128,573,0.76,50.7
16,966,1387,170,637,0.78,68.4
21,156,1388,127,1989,0.35,71.4
23,715,1389,176,829,0.67,57.7
16,959,1390,128,1063,0.37,71.3
21,112,1391,299,265,0.52,32.6
16,413,1392,270,836,0.98,40.1
16,771,1393,182,959,0.17,88.7
36,665,1394,142,902,0.71,28.4
21,313,1395,259,1571,0.67,72.9
36,726,1396,257,839,0.95,69.7
36,506,1397,105,561,0.16,54.0
36,636,1398,138,988,0.68,56.1
36,977,1399,245,417,0.18,45.9
16,471,1400,65,1926,0.64,89.2
21,903,1401,249,1975,0.79,53.9
21,171,1402,79,1921,0.29,82.3
21,611,1403,240,675,0.66,69.3
21,629,1404,148,673,0.55,72.8
36,914,1405,69,215,0.72,72.0
36,383,1406,222,314,0.01,65.9
36,558,1407,129,1694,0.2,38.5
36,946,1408,185,1887,1.0,60.2
23,321,1409,230,1547,0.57,63.1
23,740,1410,289,1960,0.32,76.4
16,262,1411,175,1721,0.43,26.7
36,632,1412,188,1049,0.98,46.1
21,282,1413,185,978,0.31,27.3
23,692,1414,125,488,0.6,55.5
21,131,1415,283,466,0.66,65.8
36,186,1416,50,911,1.0,34.5
36,105,1417,299,547,0.27,30.8
36,928,1418,99,1766,0.94,74.5
36,737,1419,125,582,0.16,61.3
36,921,1420,84,325,0.74,88.3
21,362,1421,268,399,0.17,38.7
16,874,1422,122,1721,0.69,29.2
21,318,1423,116,226,0.93,42.5
21,362,1424,138,1151,0.16,60.5
36,124,1425,186,1470,0.66,40.5
36,551,1426,188,838,0.69,72.4
36,170,1427,259,851,0.39,27.4
16,938,1428,89,1871,0.97,73.7
21,379,1429,193,497,0.84,73.9
21,238,1430,103,448,0.76,33.8
21,646,1431,281,1933,0.09,42.5
16,713,1432,276,208,0.65,21.7
21,334,1433,264,298,0.33,74.2
21,949,1434,57,1388,0.73,36.0
23,600,1435,288,640,0.85,40.0
21,937,1436,166,1078,0.26,68.1
16,576,1437,209,1124,0.37,43.6
16,653,1438,68,734,0.89,56.3
23,576,1439,245,219,0.86,76.9
21,613,1440,107,1355,0.3,83.5
16,494,1441,77,1062,0.85,73.6
21,703,1442,285,1069,0.77,85.0
21,742,1443,234,262,0.79,38.1
16,459,1444,202,1857,0.49,83.4
23,758,1445,249,1656,0.95,38.4
23,245,1446,292,847,0.88,67.0
36,599,1447,152,1720,0.64,85.1
16,340,1448,224,352,0.21,55.5
23,474,1449,131,1067,0.36,23.5
21,473,1450,219,1054,0.14,36.6
36,351,1451,55,374,0.35,36.5
23,150,1452,130,511,0.98,78.3
21,892,1453,104,225,0.07,58.7
21,680,1454,198,619,0.96,73.3
21,224,1455,157,267,0.3,35.7
36,998,1456,74,1899,0.93,45.9
36,677,1457,281,421,0.2,63.3
36,182,1458,56,932,0.73,27.3
36,917,1459,101,1565,0.42,32.2
36,785,1460,268,1345,0.79,35.1
16,386,1461,121,1629,0.32,43.9
21,675,1462,97,518,0.67,74.9
23,586,1463,279,1759,0.3,22.0
16,870,1464,220,1204,0.72,74.7
23,251,1465,89,1956,0.03,64.9
23,180,1466,217,1429,0.41,30.9
36,825,1467,52,344,0.03,68.7
36,639,1468,168,530,0.62,74.7
16,369,1469,107,585,0.92,34.0
16,949,1470,60,583,0.58,83.2
23,896,1471,267,1311,0.11,52.0
16,526,1472,131,1579,0.99,83.9
23,319,1473,81,1950,0.82,21.2
16,171,1474,140,763,0.2,55.9
21,655,1475,86,1464,0.22,35.6
21,199,1476,230,245,0.84,81.0
36,994,1477,91,482,0.58,59.1
16,759,1478,280,262,0.61,82.0
21,686,1479,96,983,0.37,35.9
21,590,1480,281,1359,0.41,23.3
21,417,1481,266,289,0.17,51.8
16,679,1482,55,1325,0.92,61.9
16,707,1483,149,398,0.19,88.8
21,989,1484,130,1126,0.79,32.8
23,533,1485,216,694,0.14,40.4
36,793,1486,221,404,0.53,56.0
23,492,1487,273,1922,0.53,48.2
21,892,1488,142,354,0.12,36.0
16,283,1489,243,1441,0.67,33.9
36,161,1490,125,726,0.85,89.9
21,384,1491,258,1199,0.65,61.4
21,102,1492,234,1261,0.36,25.4
21,801,1493,208,1615,0.1,32.0
21,303,1494,163,780,0.53,53.2
21,609,1495,55,1243,0.29,66.0
16,164,1496,103,1241,0.91,69.1
21,637,1497,75,1573,0.65,55.4
23,728,1498,67,1182,0.99,85.0
16,399,1499,62,933,0.15,35.7
